commande	carte	bibliotheque	categorie	collection	decision	etat_actuel	visuels
/mode-activites	Mode idées de sorties	assistants	Coachs	Vie quotidienne	BROUILLON (nouvelle)	absente	0
/mode-apprendre	Mode coach apprentissage	assistants	Coachs	Apprendre & progresser	PUBLIER	published	0
/mode-carriere	Mode coach carrière	assistants	Coachs	Apprendre & progresser	PUBLIER	published	0
/mode-organisation	Mode coach organisation	assistants	Coachs	Apprendre & progresser	PUBLIER	published	0
/mode-spirituel	Mode coach spirituel	assistants	Coachs	Vie quotidienne	BROUILLON (reprise)	archived	0
/mode-style	Mode coach style	assistants	Coachs	Vie quotidienne	BROUILLON (reprise)	archived	0
/mode-business	Mode mentor business	assistants	Assistants métiers	Travail & expertise	PUBLIER	published	0
/mode-code	Mode assistant code	assistants	Assistants métiers	Travail & expertise	PUBLIER	published	0
/mode-comptabilite	Mode assistant comptable	assistants	Assistants métiers	Comptabilité & fiscalité	PUBLIER	published	0
/mode-fiscalite	Mode assistant fiscal	assistants	Assistants métiers	Comptabilité & fiscalité	BROUILLON (nouvelle)	archived	0
/mode-juridique	Mode assistant juridique	assistants	Assistants métiers	Travail & expertise	PUBLIER	published	0
/mode-observation	Mode observateur	assistants	Assistants métiers	Travail & expertise	PUBLIER	published	0
/mode-projet	Mode chef de projet	assistants	Assistants métiers	Travail & expertise	PUBLIER	published	0
/mode-recherche	Mode assistant recherche	assistants	Assistants métiers	Travail & expertise	PUBLIER	published	0
/mode-aventure	Mode aventure	assistants	Jeux & simulations	Enquêtes & aventures	PUBLIER	published	0
/mode-enquete	Mode enquête	assistants	Jeux & simulations	Enquêtes & aventures	PUBLIER	published	0
/mode-entretien	Mode entretien	assistants	Jeux & simulations	Simulations professionnelles	PUBLIER	published	0
/mode-escape	Mode escape game	assistants	Jeux & simulations	Enquêtes & aventures	PUBLIER	published	0
/mode-microbusiness	Mode mini-entreprise	assistants	Jeux & simulations	Simulations professionnelles	PUBLIER	published	1
/mode-negociation	Mode négociation	assistants	Jeux & simulations	Simulations professionnelles	PUBLIER	published	0
/mode-photoquete	Mode photo-quête	assistants	Jeux & simulations	Défis courts	BROUILLON (nouvelle)	absente	0
/mode-pitch	Mode arène du pitch	assistants	Jeux & simulations	Simulations professionnelles	PUBLIER	published	0
/mode-quiz	Mode quiz vivant	assistants	Jeux & simulations	Défis courts	PUBLIER	published	0
/mode-royaume	Mode conseil du royaume	assistants	Jeux & simulations	Enquêtes & aventures	PUBLIER	published	0
/mode-angles	Mode angles inattendus	assistants	Personnages & recul	Angles de réflexion	PUBLIER	published	0
/mode-antagoniste	Mode antagoniste	assistants	Personnages & recul	Angles de réflexion	PUBLIER	published	0
/mode-archiviste	Mode archiviste du futur	assistants	Personnages & recul	Personnages	PUBLIER	published	0
/mode-batman	Mode Batman	assistants	Personnages & recul	Personnages	PUBLIER	published	0
/mode-decision	Mode décision	assistants	Personnages & recul	Angles de réflexion	PUBLIER	published	0
/mode-design	Mode critique design	assistants	Personnages & recul	Angles de réflexion	PUBLIER	published	0
/mode-feynman	Mode Feynman	assistants	Personnages & recul	Personnages	PUBLIER	published	0
/mode-griot	Mode griot africain	assistants	Personnages & recul	Personnages	PUBLIER	published	0
/mode-histoire	Mode narrateur	assistants	Personnages & recul	Personnages	PUBLIER	published	0
/mode-homer	Mode Homer Simpson	assistants	Personnages & recul	Personnages	PUBLIER	published	0
/mode-inverse	Mode réflexion inversée	assistants	Personnages & recul	Angles de réflexion	BROUILLON (reprise)	archived	0
/mode-roast	Mode roast bienveillant	assistants	Personnages & recul	Angles de réflexion	BROUILLON (reprise)	archived	0
/mode-sherlock	Mode Sherlock	assistants	Personnages & recul	Personnages	PUBLIER	published	0
/mode-socrate	Mode Socrate	assistants	Personnages & recul	Personnages	PUBLIER	published	0
/mode-spock	Mode Spock	assistants	Personnages & recul	Personnages	PUBLIER	published	0
/comparaison	Comparer des options	redaction	Synthèses & analyses	Comprendre les sources	PUBLIER	published	0
/donnees	Analyser un tableau	redaction	Synthèses & analyses	Comprendre les sources	PUBLIER	published	0
/revision	Créer une fiche de révision	redaction	Synthèses & analyses	Comprendre les sources	PUBLIER	published	0
/sources	Vérifier une affirmation	redaction	Synthèses & analyses	Comprendre les sources	PUBLIER	published	0
/synthese	Résumer des documents	redaction	Synthèses & analyses	Comprendre les sources	PUBLIER	published	0
/dossier	Préparer une proposition	redaction	Documents	Livrables professionnels	PUBLIER	published	0
/presentation	Préparer une présentation	redaction	Documents	Livrables professionnels	PUBLIER	published	0
/projet	Cadrer un projet	redaction	Documents	Livrables professionnels	PUBLIER	published	0
/rapport	Produire un rapport	redaction	Documents	Livrables professionnels	PUBLIER	published	0
/reunion	Faire un compte rendu	redaction	Documents	Livrables professionnels	PUBLIER	published	0
/specification	Rédiger une spécification	redaction	Documents	Livrables professionnels	BROUILLON (reprise)	archived	0
/article	Rédiger un article	redaction	Écrire & améliorer	Communiquer	PUBLIER	published	0
/contenus	Planifier ses contenus	redaction	Écrire & améliorer	Communiquer	PUBLIER	published	0
/message	Rédiger un message	redaction	Écrire & améliorer	Communiquer	PUBLIER	published	0
/prompt	Améliorer un prompt	redaction	Écrire & améliorer	Améliorer un texte	PUBLIER	published	0
/publication	Écrire pour les réseaux	redaction	Écrire & améliorer	Communiquer	PUBLIER	published	0
/reecrire	Réécrire clairement	redaction	Écrire & améliorer	Améliorer un texte	PUBLIER	published	0
/script	Préparer un script vidéo	redaction	Écrire & améliorer	Communiquer	PUBLIER	published	0
/traduire	Traduire et adapter	redaction	Écrire & améliorer	Améliorer un texte	PUBLIER	published	0
/unboxing	Scénario de déballage	redaction	Écrire & améliorer	Communiquer	BROUILLON (reprise)	archived	2
/vente	Rédiger une page de vente	redaction	Écrire & améliorer	Communiquer	PUBLIER	published	0
/actionfigure	Figurine articulée	visuels	Créations & montages	Humour & miniatures	PUBLIER	published	2
/afterimage	Rémanence photographique · Flash lent	visuels	Créations & montages	Effets photographiques	PUBLIER	published	2
/afterimage	Rémanence photographique · Écho de course	visuels	Créations & montages	Effets photographiques	PUBLIER	published	2
/animecityportrait	Portrait dans une ville animée · Ville animée sous la pluie	visuels	Créations & montages	Univers & histoires	PUBLIER	published	2
/animeportrait	Portrait animation japonaise	visuels	Créations & montages	Univers & histoires	BROUILLON (reprise)	archived	2
/aurorabloom	Floraison d’aurore	visuels	Créations & montages	Effets photographiques	BROUILLON (reprise)	archived	2
/balloonart	Sculpture ballon	visuels	Créations & montages	Humour & miniatures	PUBLIER	published	2
/barbieworld	Univers Barbie · Boîte de collection	visuels	Créations & montages	Univers & histoires	BROUILLON (nouvelle)	absente	0
/bigheadcaricature	Caricature grosse tête	visuels	Créations & montages	Humour & miniatures	PUBLIER	published	2
/billboardescape	Sortir d'une affiche · Abribus vivant	visuels	Créations & montages	Montages	PUBLIER	published	2
/biolight	Bioluminescence · Forêt lumineuse	visuels	Créations & montages	Arts & matières	PUBLIER	published	2
/biolight	Bioluminescence · Textile vivant	visuels	Créations & montages	Arts & matières	PUBLIER	published	2
/brickfigure	Figurine en briques	visuels	Créations & montages	Humour & miniatures	PUBLIER	published	2
/bulletmoment	Instant suspendu · Objets figés	visuels	Créations & montages	Effets photographiques	PUBLIER	published	2
/bulletmoment	Instant suspendu · Pluie arrêtée	visuels	Créations & montages	Effets photographiques	PUBLIER	published	2
/causticportrait	Portrait aux caustiques · Eau réfléchie	visuels	Créations & montages	Effets photographiques	PUBLIER	published	2
/cctvframe	Capture CCTV cinématique	visuels	Créations & montages	Effets photographiques	BROUILLON (reprise)	archived	2
/ceramic	Céramique peinte	visuels	Créations & montages	Arts & matières	BROUILLON (reprise)	archived	2
/cinematicstill	Photogramme cinéma	visuels	Créations & montages	Montages	PUBLIER	published	2
/clay	Style pâte modelée	visuels	Créations & montages	Arts & matières	PUBLIER	published	2
/claymation	Style claymation	visuels	Créations & montages	Arts & matières	PUBLIER	published	2
