"position","column","type","description"
"1","schema_version","string","7.0 : contrat autonome de ce catalogue. Ne prétend pas être le schéma de production du site."
"2","record_key","string","card:UUID, identique dans tous les exports ; indépendant du slug, du titre et du classement."
"3","card_id","string","UUID canonique immuable du catalogue. 883 UUID conservés, 106 anciens identifiants normalisés. Ne remplace pas une clé primaire de production sans rapprochement."
"4","slug","string","Slug publié conservé ou nouveau slug unique. Sert au rapprochement initial ; les imports suivants utilisent card_id."
"5","command","string","Famille de déclinaisons, préfixée par /. Plusieurs lignes peuvent partager une commande."
"6","name","string","Titre spécifique affiché sur la carte."
"7","universe","string","Libellé de l’univers : Visuels, Rédaction ou Assistants."
"8","universe_key","string","Slug de l’univers ; référencé par universe:slug dans taxonomie.csv."
"9","category","string","Libellé du rayon principal, un seul par carte."
"10","category_key","string","Slug du rayon ; référencé par category:slug dans taxonomie.csv."
"11","collection","string","Libellé de la collection principale, une seule par carte."
"12","collection_key","string","Slug de collection ; référencé par collection:slug dans taxonomie.csv."
"13","status_before","string","État relevé dans la source : published, ou new pour une carte proposée."
"14","status_target","string","État souhaité après import : published. Ne signifie pas qu’une publication a déjà été exécutée."
"15","origin","string","publiee, archive_retravaillee ou creation_originale. Les deux derniers désignent une nouvelle carte, avec un prompt entièrement rédigé pour ce lot."
"16","operation","string","insert pour les 760 ajouts ; update_editorial_only pour les 349 cartes publiées. Aucune suppression."
"17","update_fields_json","json","Liste des modifications éditoriales autorisées sur une carte publiée. Ne comprend aucune réécriture des noms, slugs, accès ou médias."
"18","is_free","boolean","Accès gratuit booléen. Préservé pour l’existant ; false proposé par défaut pour les ajouts."
"19","short_description","string","Résumé court de la promesse affiché sur la miniature."
"20","result_summary","string","Résultat attendu affiché sur la fiche."
"21","intention","string","Pourquoi la composition et le traitement servent la promesse."
"22","use_cases_json","json","Situations d’usage, liste de textes."
"23","input_type","string","optional_reference pour un visuel ; optional_text_or_document pour les autres univers. Le scénario fictif fonctionne sans entrée."
"24","expected_input","string","Explication publique des informations facultatives et du démarrage sans référence."
"25","reference_instruction","string","Règle commune : fidélité aux pièces présentes, scénario fictif sinon, question seulement pour une exactitude réelle indispensable."
"26","identity_policy","string","Règle de conservation d’identité, de produit ou de contenu."
"27","fields_regime","string","standard : au plus 3 champs ; marketing : au plus 4 champs."
"28","prompt_fields_json","json","Liste ordonnée : key, label, type, required=false, placeholder, default, help, if_empty=auto_context, required_when ; example ancien éventuellement conservé."
"29","prompt","string","Prompt canonique complet. Remplacer les tokens en une passe littérale avec compiler_prompt.py ; aucune évaluation de code."
"30","prompt_variant","string","Toujours canonique. Ne pas dupliquer par modèle d’IA."
"31","images_min","integer","1 pour les Visuels, 0 pour les autres univers ; nombre d’images de sortie, pas nombre de pièces jointes."
"32","default_ratio","string","4:5, 3:2, 4:3, 3:4, 1:1, 16:9, auto ou sans_objet. auto conserve la liberté de composition prévue par la source."
"33","output_formats_json","json","Formats proposés. Pour les fiches source, image/texte indique seulement la nature extraite, sans surinterprétation du format natif."
"34","output_display","string","Ligne de résultat et format destinée à l’affichage."
"35","tags_json","json","Libellés des mêmes tags dans le même ordre. Aucun tag libre non déclaré."
"36","tag_keys_json","json","De 1 à 4 tags contrôlés. Miroir exact de carte_tags.csv."
"37","related_card_keys_json","json","Miroir lisible des mêmes liens sous forme card:UUID ; ne pas importer deux fois."
"38","media_status","string","existing : média signalé présent ; none : aucun dans la source ; awaiting_admin : nouveau média à joindre."
"39","media_action","string","preserve pour toutes les cartes publiées ; attach_via_admin pour les ajouts."
"40","before_image_url","string","URL avant, non disponible dans les PDF et volontairement vide. Vide ne signifie jamais supprimer."
"41","after_image_url","string","URL après, non disponible dans les PDF et volontairement vide. Vide ne signifie jamais supprimer."
"42","media_alt","string","Description proposée du futur visuel. À ajuster au média réellement joint ; laissée vide pour préserver l’existant."
"43","disclaimer","string","Mention courte sur la variabilité des résultats et l’usage des prompts visuels."
"44","source_file","string","Nom du PDF source ou création éditoriale de cette livraison."
"45","source_pages","string","Page d’ouverture de la fiche publiée ou de la ligne d’archive retenue."
"46","archive_source_slugs_json","json","Slugs d’archives utilisés comme sources d’idées. Aucun identifiant de production d’archive n’est réutilisé."
"47","source_scope","string","Périmètre de preuve : fiche complète extraite, idée d’archive sans ancien prompt, ou nouvelle direction."
"48","editorial_group","string","Série éditoriale de contrôle. Ce n’est ni une nouvelle catégorie ni un tag utilisateur."
"49","editorial_notes","string","Notes pour l’importateur et l’éditeur ; ne pas afficher comme description publique."
"50","quality_check","string","Contrôles structurels et compilation réalisés ; les rendus image n’ont pas été exécutés sur un modèle."
"51","card_code","string","Code humain immuable RCIA-C-000001, attribué une fois dans le registre. Le prochain nouveau code est RCIA-C-001110."
"52","legacy_card_id","string","card_id exactement relevé dans le PDF pour une carte publiée ; vide si non disponible. Les chaînes img-* restent ici."
"53","previous_record_key","string","Ancienne clé raccourcia/slug de la livraison précédente, utilisée seulement pour la migration."
"54","production_card_id","string","Réservé au rapprochement avec la base réelle. Vide : aucun UUID de production n’est prétendu connu."
"55","id_allocation","string","uuid_conserve, uuid5_depuis_id_source, uuid5_depuis_cle_source ou uuid5_nouvelle_carte. Les valeurs allouées sont gelées après cette livraison."
"56","command_id","string","UUID immuable de la famille de commande ; référence commandes.csv. Une commande regroupe plusieurs déclinaisons."
"57","auto_context_json","json","Scénario fictif propre à la carte, direction, public, langue, politique de référence et de faits. Utilisé quand aucune donnée exploitable n’est fournie."
"58","essential_questions_json","json","Questions conditionnelles : condition, question, si_sans_reponse. Pas de questionnaire préalable pour le mode autonome."
"59","missing_input_policy","string","generate_fictional_context pour toutes les cartes : l’IA choisit un contexte et produit un exemple explicite."
"60","reference_required","boolean","false pour lancer un exemple. Une restitution exacte d’un sujet réel reste conditionnée aux références correspondantes."
"61","output_type","string","image_unique ou planche_unique (un seul fichier image), document ou conversation."
"62","output_count","integer","1 livrable. Une planche contenant plusieurs vues reste un seul fichier."
"63","revision_date","string","Date éditoriale ISO 8601."
"64","release_batch","string","publiees_349, lot_640 ou revision_finale_120 ; permet les imports différentiels."
"65","related_card_ids_json","json","Liste de UUID card_id, sans auto-référence, même univers ; relation canonique de relations.csv."
