"taxonomy_key","level","label","slug","parent_key","operation","definition","card_count"
"universe:visuels","universe","Visuels","visuels","","preserve","Niveau de navigation conservé.","1058"
"category:creations-montages","category","Créations & montages","creations-montages","universe:visuels","preserve","Niveau de navigation conservé.","396"
"collection:univers-histoires","collection","Univers & histoires","univers-histoires","category:creations-montages","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","73"
"collection:montages","collection","Montages","montages","category:creations-montages","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","64"
"collection:arts-matieres","collection","Arts & matières","arts-matieres","category:creations-montages","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","99"
"collection:effets-photographiques","collection","Effets photographiques","effets-photographiques","category:creations-montages","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","79"
"collection:humour-miniatures","collection","Humour & miniatures","humour-miniatures","category:creations-montages","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","81"
"category:portraits-sujets","category","Portraits & sujets","portraits-sujets","universe:visuels","preserve","Niveau de navigation conservé.","300"
"collection:portraits-editoriaux","collection","Portraits éditoriaux","portraits-editoriaux","category:portraits-sujets","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","96"
"collection:style-tenues","collection","Style & tenues","style-tenues","category:portraits-sujets","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","56"
"collection:liens-souvenirs","collection","Liens & souvenirs","liens-souvenirs","category:portraits-sujets","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","34"
"collection:portraits-professionnels","collection","Portraits professionnels","portraits-professionnels","category:portraits-sujets","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","51"
"collection:retouches","collection","Retouches","retouches","category:portraits-sujets","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","23"
"category:espaces","category","Espaces","espaces","universe:visuels","preserve","Niveau de navigation conservé.","58"
"collection:lieux-imaginaires","collection","Lieux imaginaires","lieux-imaginaires","category:espaces","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","26"
"category:marketing-edition","category","Marketing & édition","marketing-edition","universe:visuels","preserve","Niveau de navigation conservé.","159"
"collection:identite-maquettes","collection","Identité & maquettes","identite-maquettes","category:marketing-edition","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","34"
"collection:campagnes","collection","Campagnes","campagnes","category:marketing-edition","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","33"
"collection:couvertures","collection","Couvertures","couvertures","category:marketing-edition","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","36"
"collection:affiches-menus","collection","Affiches & menus","affiches-menus","category:marketing-edition","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","44"
"category:schemas-technique","category","Schémas & technique","schemas-technique","universe:visuels","preserve","Niveau de navigation conservé.","79"
"collection:plans-cotes","collection","Plans & cotes","plans-cotes","category:schemas-technique","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","7"
"collection:structures-coupes","collection","Structures & coupes","structures-coupes","category:schemas-technique","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","38"
"collection:explications-visuelles","collection","Explications visuelles","explications-visuelles","category:schemas-technique","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","10"
"collection:flux-systemes","collection","Flux & systèmes","flux-systemes","category:schemas-technique","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","24"
"category:produits","category","Produits","produits","universe:visuels","preserve","Niveau de navigation conservé.","66"
"collection:presentation-fidele","collection","Présentation fidèle","presentation-fidele","category:produits","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","34"
"universe:redaction","universe","Rédaction","redaction","","preserve","Niveau de navigation conservé.","19"
"category:ecrire-ameliorer","category","Écrire & améliorer","ecrire-ameliorer","universe:redaction","preserve","Niveau de navigation conservé.","9"
"collection:ameliorer-un-texte","collection","Améliorer un texte","ameliorer-un-texte","category:ecrire-ameliorer","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","3"
"collection:communiquer","collection","Communiquer","communiquer","category:ecrire-ameliorer","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","6"
"category:syntheses-analyses","category","Synthèses & analyses","syntheses-analyses","universe:redaction","preserve","Niveau de navigation conservé.","5"
"collection:comprendre-les-sources","collection","Comprendre les sources","comprendre-les-sources","category:syntheses-analyses","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","5"
"category:documents","category","Documents","documents","universe:redaction","preserve","Niveau de navigation conservé.","5"
"collection:livrables-professionnels","collection","Livrables professionnels","livrables-professionnels","category:documents","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","5"
"universe:assistants","universe","Assistants","assistants","","preserve","Niveau de navigation conservé.","32"
"category:personnages-recul","category","Personnages & recul","personnages-recul","universe:assistants","preserve","Niveau de navigation conservé.","13"
"collection:personnages","collection","Personnages","personnages","category:personnages-recul","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","9"
"collection:angles-de-reflexion","collection","Angles de réflexion","angles-de-reflexion","category:personnages-recul","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","4"
"category:jeux-simulations","category","Jeux & simulations","jeux-simulations","universe:assistants","preserve","Niveau de navigation conservé.","9"
"collection:enquetes-aventures","collection","Enquêtes & aventures","enquetes-aventures","category:jeux-simulations","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","4"
"collection:defis-courts","collection","Défis courts","defis-courts","category:jeux-simulations","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","1"
"collection:simulations-professionnelles","collection","Simulations professionnelles","simulations-professionnelles","category:jeux-simulations","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","4"
"category:coachs-assistants","category","Coachs & assistants","coachs-assistants","universe:assistants","preserve","Niveau de navigation conservé.","10"
"collection:apprendre-progresser","collection","Apprendre & progresser","apprendre-progresser","category:coachs-assistants","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","3"
"collection:travail-expertise","collection","Travail & expertise","travail-expertise","category:coachs-assistants","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","6"
"collection:comptabilite-fiscalite","collection","Comptabilité & fiscalité","comptabilite-fiscalite","category:coachs-assistants","preserve","Lieu principal de rangement ; les autres rapprochements passent par les tags.","1"
"collection:voyages-horizons","collection","Voyages & horizons","voyages-horizons","category:portraits-sujets","create","Lieu principal de rangement ; les autres rapprochements passent par les tags.","40"
"collection:scenographies","collection","Scénographies","scenographies","category:produits","create","Lieu principal de rangement ; les autres rapprochements passent par les tags.","20"
"collection:amenagements","collection","Aménagements","amenagements","category:espaces","create","Lieu principal de rangement ; les autres rapprochements passent par les tags.","32"
"collection:matieres-conception","collection","Matières & conception","matieres-conception","category:produits","create","Études de matières, finitions et choix de conception.","12"
"collection:presentations-professionnelles","collection","Présentations professionnelles","presentations-professionnelles","category:marketing-edition","create","Supports visuels pour exposer une offre, un projet ou une décision.","12"
